,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count_x,month,weekday,hour,count_y,dif
0,1/1/2011 0:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16,1,6,0,38.4,-22.4
1,1/8/2011 0:00,1,0,0,2,7.38,9.85,51,11.0014,1,24,25,1,6,0,38.4,-13.399999999999999
2,1/15/2011 0:00,1,0,0,1,7.38,12.12,55,0.0,3,25,28,1,6,0,38.4,-10.399999999999999
3,1/7/2012 0:00,1,0,0,1,14.76,17.425,50,11.0014,2,77,79,1,6,0,38.4,40.6
4,1/14/2012 0:00,1,0,0,1,6.56,9.09,47,7.0015,2,42,44,1,6,0,38.4,5.600000000000001
5,1/1/2011 1:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40,1,6,1,37.6,2.3999999999999986
6,1/8/2011 1:00,1,0,0,2,7.38,10.605,55,6.0032,1,15,16,1,6,1,37.6,-21.6
7,1/15/2011 1:00,1,0,0,2,6.56,9.85,59,6.0032,2,18,20,1,6,1,37.6,-17.6
8,1/7/2012 1:00,1,0,0,1,15.58,19.695,46,11.0014,6,56,62,1,6,1,37.6,24.4
9,1/14/2012 1:00,1,0,0,1,6.56,7.575,47,12.998,6,44,50,1,6,1,37.6,12.399999999999999
10,1/1/2011 2:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32,1,6,2,27.2,4.800000000000001
11,1/8/2011 2:00,1,0,0,2,7.38,12.12,55,0.0,3,13,16,1,6,2,27.2,-11.2
12,1/15/2011 2:00,1,0,0,2,6.56,9.85,59,6.0032,0,12,12,1,6,2,27.2,-15.2
13,1/7/2012 2:00,1,0,0,1,14.76,18.18,50,7.0015,2,36,38,1,6,2,27.2,10.8
14,1/14/2012 2:00,1,0,0,1,6.56,8.335,47,11.0014,6,32,38,1,6,2,27.2,10.8
15,1/1/2011 3:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13,1,6,3,13.6,-0.5999999999999996
16,1/8/2011 3:00,1,0,0,3,7.38,9.85,55,11.0014,0,7,7,1,6,3,13.6,-6.6
17,1/15/2011 3:00,1,0,0,2,6.56,11.365,59,0.0,1,7,8,1,6,3,13.6,-5.6
18,1/7/2012 3:00,1,0,0,1,13.12,16.665,57,7.0015,1,19,20,1,6,3,13.6,6.4
19,1/14/2012 3:00,1,0,0,1,5.74,8.335,54,7.0015,6,14,20,1,6,3,13.6,6.4
20,1/1/2011 4:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1,1,6,4,4.0,-3.0
21,1/8/2011 4:00,1,0,0,3,7.38,9.85,55,11.0014,0,1,1,1,6,4,4.0,-3.0
22,1/15/2011 4:00,1,0,0,2,6.56,11.365,59,0.0,0,5,5,1,6,4,4.0,1.0
23,1/7/2012 4:00,1,0,0,1,13.12,16.665,57,6.0032,1,9,10,1,6,4,4.0,6.0
24,1/14/2012 4:00,1,0,0,1,5.74,7.575,50,8.9981,0,3,3,1,6,4,4.0,-1.0
25,1/1/2011 5:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,1,6,5,4.0,-3.0
26,1/8/2011 5:00,1,0,0,2,6.56,8.335,74,11.0014,0,5,5,1,6,5,4.0,1.0
27,1/15/2011 5:00,1,0,0,1,6.56,11.365,59,0.0,0,1,1,1,6,5,4.0,-3.0
28,1/7/2012 5:00,1,0,0,1,10.66,13.635,75,7.0015,2,7,9,1,6,5,4.0,5.0
30,1/1/2011 6:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2,1,6,6,3.8,-1.7999999999999998
31,1/8/2011 6:00,1,0,0,2,6.56,8.335,74,11.0014,0,2,2,1,6,6,3.8,-1.7999999999999998
32,1/15/2011 6:00,1,0,0,1,5.74,8.335,63,7.0015,1,2,3,1,6,6,3.8,-0.7999999999999998
33,1/7/2012 6:00,1,0,0,1,10.66,13.635,75,7.0015,0,7,7,1,6,6,3.8,3.2
34,1/14/2012 6:00,1,0,0,1,5.74,7.575,50,0.0,0,5,5,1,6,6,3.8,1.2000000000000002
35,1/1/2011 7:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3,1,6,7,13.2,-10.2
36,1/8/2011 7:00,1,0,0,2,6.56,9.09,74,7.0015,1,8,9,1,6,7,13.2,-4.199999999999999
37,1/15/2011 7:00,1,0,0,1,5.74,10.605,63,0.0,1,9,10,1,6,7,13.2,-3.1999999999999993
38,1/7/2012 7:00,1,0,0,1,9.02,11.365,87,12.998,0,20,20,1,6,7,13.2,6.800000000000001
39,1/14/2012 7:00,1,0,0,1,5.74,7.575,50,8.9981,0,24,24,1,6,7,13.2,10.8
40,1/1/2011 8:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8,1,6,8,40.4,-32.4
41,1/8/2011 8:00,1,0,0,3,6.56,9.09,93,7.0015,0,15,15,1,6,8,40.4,-25.4
42,1/15/2011 8:00,1,0,0,1,5.74,7.575,63,8.9981,1,22,23,1,6,8,40.4,-17.4
43,1/7/2012 8:00,1,0,0,1,9.84,12.88,75,7.0015,0,64,64,1,6,8,40.4,23.6
44,1/14/2012 8:00,1,0,0,1,4.92,7.575,54,7.0015,3,89,92,1,6,8,40.4,51.6
45,1/1/2011 9:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14,1,6,9,55.6,-41.6
46,1/8/2011 9:00,1,0,0,3,6.56,9.09,93,7.0015,0,20,20,1,6,9,55.6,-35.6
47,1/15/2011 9:00,1,0,0,1,6.56,9.09,64,8.9981,2,31,33,1,6,9,55.6,-22.6
48,1/7/2012 9:00,1,0,0,1,9.02,11.365,80,8.9981,14,116,130,1,6,9,55.6,74.4
49,1/14/2012 9:00,1,0,0,1,5.74,8.335,50,7.0015,3,78,81,1,6,9,55.6,25.4
50,1/1/2011 10:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,1,6,10,101.6,-65.6
51,1/8/2011 10:00,1,0,0,2,7.38,9.85,80,11.0014,5,56,61,1,6,10,101.6,-40.599999999999994
52,1/15/2011 10:00,1,0,0,1,7.38,9.85,59,11.0014,2,57,59,1,6,10,101.6,-42.599999999999994
53,1/7/2012 10:00,1,0,0,1,11.48,15.15,75,6.0032,43,160,203,1,6,10,101.6,101.4
54,1/14/2012 10:00,1,0,0,1,6.56,11.365,47,0.0,14,135,149,1,6,10,101.6,47.400000000000006
55,1/1/2011 11:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,1,6,11,138.4,-82.4
56,1/8/2011 11:00,1,0,0,2,8.2,9.09,69,26.0027,2,60,62,1,6,11,138.4,-76.4
57,1/15/2011 11:00,1,0,0,1,8.2,9.85,55,15.0013,18,54,72,1,6,11,138.4,-66.4
58,1/7/2012 11:00,1,0,0,1,13.94,15.91,57,15.0013,74,250,324,1,6,11,138.4,185.6
59,1/14/2012 11:00,1,0,0,1,8.2,9.85,40,12.998,28,150,178,1,6,11,138.4,39.599999999999994
60,1/1/2011 12:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,1,6,12,173.2,-89.19999999999999
61,1/8/2011 12:00,1,0,0,2,8.2,9.09,59,23.9994,8,90,98,1,6,12,173.2,-75.19999999999999
62,1/15/2011 12:00,1,0,0,1,9.84,11.365,48,15.0013,15,74,89,1,6,12,173.2,-84.19999999999999
63,1/7/2012 12:00,1,0,0,1,16.4,20.455,43,15.0013,100,276,376,1,6,12,173.2,202.8
64,1/14/2012 12:00,1,0,0,1,9.02,10.605,41,16.9979,30,189,219,1,6,12,173.2,45.80000000000001
65,1/1/2011 13:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,1,6,13,192.4,-98.4
66,1/8/2011 13:00,1,0,0,1,8.2,9.09,44,22.0028,7,95,102,1,6,13,192.4,-90.4
67,1/15/2011 13:00,1,0,0,1,11.48,12.88,38,19.9995,21,80,101,1,6,13,192.4,-91.4
68,1/7/2012 13:00,1,0,0,1,18.04,21.97,44,12.998,149,296,445,1,6,13,192.4,252.6
69,1/14/2012 13:00,1,0,0,1,9.02,10.605,44,19.0012,38,182,220,1,6,13,192.4,27.599999999999994
70,1/1/2011 14:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,1,6,14,212.4,-106.4
71,1/8/2011 14:00,1,0,0,1,8.2,8.335,32,32.9975,12,83,95,1,6,14,212.4,-117.4
72,1/15/2011 14:00,1,0,0,1,12.3,14.395,39,19.0012,26,92,118,1,6,14,212.4,-94.4
73,1/7/2012 14:00,1,0,0,1,20.5,24.24,42,19.0012,156,356,512,1,6,14,212.4,299.6
74,1/14/2012 14:00,1,0,0,1,9.84,10.605,41,19.9995,52,179,231,1,6,14,212.4,18.599999999999994
75,1/1/2011 15:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,1,6,15,197.6,-87.6
76,1/8/2011 15:00,1,0,0,1,8.2,8.335,32,30.0026,5,69,74,1,6,15,197.6,-123.6
